# {"t_start": 1755705826.1284919, "env_id": "Office-new-multiple-v0"} 
r,l,t
0.0,5,0.052927
0.0,14,0.06631
1.0,33,0.081894
0.0,6,0.099393
1.0,16,0.113435
1.0,26,0.125463
0.0,8,0.144194
0.0,22,0.187474
1.0,106,0.257569
0.0,6,0.270811
0.0,9,0.286799
0.0,60,0.334959
1.0,78,0.362056
0.0,21,0.370802
1.0,9,0.381156
0.0,3,0.393449
0.0,32,0.408535
0.0,22,0.422438
0.0,18,0.441636
0.0,7,0.456806
1.0,35,0.472136
1.0,55,0.493763
1.0,90,0.554969
0.0,8,0.564624
0.0,53,0.589773
1.0,30,0.600943
1.0,6,0.613153
0.0,41,0.627424
1.0,59,0.650615
0.0,1,0.677785
1.0,48,0.70218
0.0,19,0.71942
1.0,31,0.733332
0.0,44,0.764503
1.0,34,0.778036
0.0,13,0.791747
0.0,2,0.80478
0.0,31,0.815179
1.0,56,0.839112
0.0,25,0.851133
1.0,104,0.89895
0.0,34,0.926226
0.0,109,0.979444
0.0,71,1.018642
1.0,46,1.038409
0.0,6,1.04869
0.0,7,1.077171
0.0,40,1.085968
0.0,14,1.095114
0.0,2,1.10541
0.0,55,1.147753
0.0,72,1.181808
1.0,12,1.192915
0.0,5,1.205314
1.0,40,1.216041
0.0,27,1.227497
1.0,43,1.240556
0.0,69,1.258457
1.0,41,1.277732
0.0,17,1.290897
0.0,28,1.302605
0.0,85,1.32124
0.0,13,1.332302
0.0,42,1.344911
1.0,65,1.366161
0.0,27,1.380366
1.0,16,1.391844
0.0,83,1.423213
1.0,11,1.43374
0.0,2,1.460071
0.0,4,1.466051
0.0,52,1.495417
1.0,39,1.505939
0.0,3,1.517937
0.0,2,1.52567
0.0,92,1.564141
0.0,2,1.572433
0.0,8,1.58589
0.0,31,1.617315
0.0,2,1.644804
0.0,58,1.68777
0.0,20,1.698431
1.0,76,1.721277
0.0,18,1.735762
1.0,107,1.786535
0.0,21,1.799779
1.0,64,1.822165
0.0,14,1.828704
1.0,42,1.841411
0.0,4,1.868919
1.0,32,1.883887
1.0,16,1.892773
0.0,8,1.920286
0.0,48,1.947937
0.0,8,1.95422
0.0,26,1.978846
0.0,60,2.02008
0.0,16,2.032827
1.0,20,2.044038
0.0,60,2.071378
0.0,32,2.08833
0.0,35,2.117078
1.0,40,2.125592
0.0,3,2.131582
0.0,44,2.146667
0.0,27,2.156684
