eval rewards,goals,eval successes,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss
0.0,14,0.0,100.0,450,4,0.0,0,400,,,,
0.0,14,0.0,100.0,451,8,0.0,1,800,,,,
0.0,14,0.0,97.41666666666667,453,12,0.08333333333333333,2,1169,150,1e-05,0.030583406686782836,0.004083152445964515
0.0,14,0.0,94.9375,456,16,0.125,3,1519,500,1e-05,0.023032846078276634,0.14166255394084146
0.0,14,0.0,95.95,460,20,0.1,4,1919,900,1e-05,0.034048762395977976,0.010608455892070196
0.0,14,0.0,96.625,464,24,0.08333333333333333,4,2319,1300,1e-05,0.03140015736222267,0.0013094256084877998
0.0,14,0.0,97.10714285714286,467,28,0.07142857142857142,5,2719,1700,1e-05,0.030402878001332283,0.0010333419444214086
0.0,14,0.0,97.46875,471,32,0.0625,6,3119,2100,1e-05,0.026274481769651175,0.004683987925818656
0.0,14,0.0,95.08333333333333,474,36,0.08333333333333333,7,3423,2400,1e-05,0.028716673254966737,0.0012927507084532408
0.0,14,0.0,94.05,478,40,0.1,7,3762,2750,1e-05,0.0019286420452408492,0.004050560827599838
0.0,14,0.0,92.79545454545455,481,44,0.11363636363636363,8,4083,3050,1e-05,-0.01516949599608779,0.005340074200648815
0.0,14,0.0,91.33333333333333,484,48,0.125,9,4384,3350,1e-05,-0.01979548830538988,0.00478201613703277
0.0,14,0.0,90.09615384615384,487,52,0.1346153846153846,9,4685,3650,1e-05,-0.02433693803846836,0.006640659548575059
0.0,14,0.0,87.69642857142857,490,56,0.16071428571428573,10,4911,3900,1e-05,-0.024149601832032203,0.007731935500050895
0.0,14,0.0,88.51666666666667,494,60,0.15,10,5311,4300,1e-05,-0.028620001450181006,0.0015153193764854223
0.0,14,0.0,87.6875,497,64,0.15625,11,5612,4600,1e-05,-0.026211486980319023,0.0010370806042919866
0.0,14,0.0,86.6029411764706,499,68,0.17647058823529413,11,5889,4850,1e-05,-0.030538365021348,0.0039741730217065195
0.0,14,0.0,87.34722222222223,503,72,0.16666666666666666,12,6289,5250,1e-05,-0.027871376127004622,0.01759248640126316
0.0,14,0.0,85.48684210526316,506,76,0.18421052631578946,12,6497,5450,1e-05,-0.03042965419590473,0.004417683497013059
0.0,14,0.0,86.2125,510,80,0.175,13,6897,5850,1e-05,-0.03827759332954884,0.0051760952902259304
0.0,14,0.0,85.69047619047619,513,84,0.17857142857142858,14,7198,6150,1e-05,-0.03908497765660286,0.0037247462247614748
0.0,14,0.0,86.3409090909091,518,88,0.17045454545454544,14,7598,6550,1e-05,-0.0365820774435997,0.0026689353404799475
0.0,14,0.0,85.8586956521739,521,92,0.17391304347826086,15,7899,6850,1e-05,-0.04048893935978413,0.0055263020368875
0.0,14,0.0,85.47916666666667,524,96,0.17708333333333334,15,8206,7200,1e-05,-0.03586200277786702,0.02029101126943715
0.0,14,0.0,86.06,528,100,0.17,16,8606,7600,1e-05,-0.03047325536608696,0.01685661686642561
0.0,14,0.0,86.06,532,104,0.17,16,9006,8000,1e-05,-0.025430049523711206,0.0018722487892955542
0.0,14,0.0,83.11,534,108,0.2,17,9111,8100,1e-05,-0.0274403116106987,0.006604075738869142
0.0,14,0.0,83.42,538,112,0.19,17,9511,8500,1e-05,-0.025099050793796776,0.003170099280832801
0.0,14,0.0,82.4,540,116,0.2,18,9759,8750,1e-05,-0.028933892250061034,0.00827439958055038
0.0,14,0.0,80.42,543,120,0.22,18,9961,8950,1e-05,-0.035661035925149916,0.02559692899347283
0.0,14,0.0,80.42,1001,124,0.22,10,10361,9350,1e-05,-0.025581052526831627,0.005476165719446726
0.0,14,0.0,80.42,1004,128,0.22,10,10761,9750,1e-05,-0.016989169679582118,0.0010964729360421188
0.0,14,0.0,80.42,1008,132,0.22,11,11161,10150,1e-05,-0.02140879472717643,0.0024765618111996447
0.0,14,0.0,81.38,1012,136,0.21,11,11561,10550,1e-05,-0.022011875584721566,0.0049578011000994595
0.0,14,0.0,81.99,1016,140,0.2,11,11961,10950,1e-05,-0.020061764307320117,0.002185147614363814
0.0,14,0.0,82.78,1020,144,0.19,12,12361,11350,1e-05,-0.014020451307296754,0.004943192530190572
0.0,14,0.0,83.77,1024,148,0.18,12,12761,11750,1e-05,-0.005953061317559332,0.01761559123231564
0.0,14,0.0,82.78,1026,152,0.19,12,12963,11950,1e-05,-0.004153037439100444,0.001831174300168641
0.0,14,0.0,84.52,1030,156,0.17,12,13363,12350,1e-05,0.0020139422733336685,0.011551734301028772
0.0,14,0.0,84.52,1034,160,0.17,13,13763,12750,1e-05,-0.006310045318678022,0.002460719364025863
0.0,14,0.0,85.51,1038,164,0.16,13,14163,13150,1e-05,-0.005316403324250132,0.005324665781954536
0.0,14,0.0,86.74,1042,168,0.14,13,14563,13550,1e-05,-0.008107170360162855,0.0033610615125508046
0.0,14,0.0,85.75,1045,172,0.15,14,14864,13850,1e-05,-0.0020397779485210777,0.002289615324261831
0.0,14,0.0,86.71,1047,176,0.14,14,15168,14150,1e-05,-0.0025183805683627724,0.00107179734732199
0.0,14,0.0,86.71,1051,180,0.14,14,15568,14550,1e-05,0.002187758283689618,0.00034073428694682663
0.0,14,0.0,86.96,1054,184,0.14,15,15894,14850,1e-05,-0.002566400992218405,0.003651502828943194
0.0,14,0.0,86.96,1058,188,0.14,15,16294,15250,1e-05,-0.0019641253910958768,0.003753050278464798
0.0,14,0.0,86.15,1061,192,0.15,15,16514,15500,1e-05,-0.0001506207138299942,0.010033376317005604
0.0,14,0.0,87.08,1065,196,0.14,15,16914,15900,1e-05,0.0027488407166674734,0.002021902838459937
0.0,14,0.0,87.08,1069,200,0.14,16,17314,16300,1e-05,0.002044990356080234,0.003960288491216488
0.0,14,0.0,87.08,1073,204,0.14,16,17714,16700,1e-05,0.005168136584106833,0.004978885747550521
0.0,14,0.0,90.03,1077,208,0.11,16,18114,17100,1e-05,0.003955713226459921,0.002057381187041756
0.0,14,0.0,89.04,1080,212,0.12,17,18415,17400,1e-05,0.007840459705330432,0.0012169165035447805
0.0,14,0.0,89.57,1083,216,0.11,17,18716,17700,1e-05,0.008405620963312686,0.0026601683151966427
0.0,14,0.0,91.55,1087,220,0.09,17,19116,18100,1e-05,0.008169544604606926,0.00337151105835801
0.0,14,0.0,91.55,1091,224,0.09,17,19516,18500,1e-05,0.005468864175491035,0.001488520017155679
0.0,14,0.0,90.51,1094,228,0.11,18,19812,18800,1e-05,0.008034663703292609,0.0030346190990530888
0.0,14,0.0,90.51,1546,232,0.11,13,20212,19200,1e-05,0.013286316674202681,0.0012615864115650766
0.0,14,0.0,88.85,1548,236,0.13,13,20446,19400,1e-05,0.006710861129686236,0.002956204973743297
0.0,14,0.0,87.86,1551,240,0.14,13,20747,19700,1e-05,0.0091802142187953,0.008266137337777764
0.0,14,0.0,85.9,1554,244,0.16,13,20951,19950,1e-05,0.00927980814129114,0.0018937290614121595
0.0,14,0.0,84.78,1557,248,0.18,13,21239,20200,1e-05,0.013407849911600352,0.0009466273491125321
0.0,14,0.0,86.76,1561,252,0.16,13,21639,20600,1e-05,0.01115695657208562,0.00252835639512341
0.0,14,0.0,84.96,1563,256,0.18,13,21859,20850,1e-05,0.016786853037774562,0.0014048640703549608
0.0,14,0.0,84.96,1567,260,0.18,14,22259,21250,1e-05,0.009067181798163801,0.003475639494427014
0.0,14,0.0,83.97,1570,264,0.19,14,22560,21550,1e-05,0.01142735400237143,0.0012509822125866777
0.0,14,0.0,82.98,1573,268,0.2,14,22861,21850,1e-05,0.012711388622410596,0.006874822903773748
0.0,14,0.0,82.98,1576,272,0.2,14,23162,22150,1e-05,0.012670120112597943,0.0014084551681298762
0.0,14,0.0,83.94,1580,276,0.19,14,23562,22550,1e-05,0.015878538056276738,0.002629057080921484
0.0,14,0.0,83.02,1583,280,0.2,15,23870,22850,1e-05,0.011882101092487574,0.0026027742593578295
0.0,14,0.0,83.76,1587,284,0.19,15,24270,23250,1e-05,0.011990229533985257,0.0020575207081856206
0.0,14,0.0,83.76,1590,288,0.19,15,24670,23650,1e-05,0.016147438995540143,0.00029910361437941903
0.0,14,0.0,85.56,1594,292,0.17,15,25070,24050,1e-05,0.01278789384290576,0.010754575672544888
0.0,14,0.0,84.57,1597,296,0.18,15,25371,24350,1e-05,0.014781916551291942,0.003743499083866482
0.0,14,0.0,84.57,1601,300,0.18,16,25771,24750,1e-05,0.021473799692466856,0.00505692477163393
0.0,14,0.0,83.63,1604,304,0.19,16,26077,25050,1e-05,0.018591905273497106,0.0025659830989752663
0.0,14,0.0,82.31,1607,308,0.21,16,26345,25300,1e-05,0.018336193561553957,0.003120183176215505
0.0,14,0.0,82.51,1610,312,0.21,16,26666,25650,1e-05,0.01905738566070795,0.0037757212657743367
0.0,14,0.0,82.69,1613,316,0.21,16,26985,25950,1e-05,0.019507753923535348,0.0014902394507225836
0.0,14,0.0,82.69,1617,320,0.21,16,27385,26350,1e-05,0.015336964037269354,0.0048761171053047295
0.0,14,0.0,81.7,1620,324,0.22,17,27686,26650,1e-05,0.013638393916189671,0.004582707739173202
0.0,14,0.0,81.75,1623,328,0.21,17,27987,26950,1e-05,0.01405147636309266,0.0027260938065592198
0.0,14,0.0,80.05,1626,332,0.23,17,28217,27200,1e-05,0.012095054788514971,0.002011054208560381
0.0,14,0.0,79.73,1628,336,0.23,17,28419,27400,1e-05,0.0107515864726156,0.0026292180124437435
